State,County Name,"Median
Home Price
Q4 2021","Monthly
Payment
Q4 2021","Monthly
Payment
Q4 2020",Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom,Population,,
Alabama,Autauga County,181392,695,599,$643 ,$764 ,$914 ,"$1,156 ","$1,494 ","55,869",,
Alabama,Baldwin County,269266,1032,868,$772 ,$777 ,"$1,017 ","$1,348 ","$1,715 ","223,234",,
Alabama,Barbour County,109468,420,353,$532 ,$536 ,$705 ,$871 ,$980 ,"24,686",,
Alabama,Bibb County,113246,434,365,$765 ,$820 ,$943 ,"$1,220 ","$1,316 ","22,394",,
Alabama,Blount County,155957,598,502,$765 ,$820 ,$943 ,"$1,220 ","$1,316 ","57,826",,
Alabama,Bullock County,84847,325,273,$589 ,$602 ,$783 ,$968 ,"$1,158 ","10,101",,
Alabama,Butler County,115744,444,373,$530 ,$619 ,$705 ,$871 ,"$1,043 ","19,448",,
Alabama,Calhoun County,149749,574,485,$562 ,$565 ,$744 ,$988 ,"$1,111 ","113,605",,
Alabama,Chambers County,117193,449,378,$655 ,$659 ,$861 ,"$1,074 ","$1,168 ","33,254",,
Alabama,Cherokee County,148935,571,480,$530 ,$536 ,$705 ,$982 ,"$1,006 ","26,196",,
Alabama,Chilton County,130941,502,421,$583 ,$619 ,$705 ,$978 ,$982 ,"44,428",,
Alabama,Choctaw County,89433,343,288,$530 ,$536 ,$705 ,$871 ,"$1,182 ","12,589",,
Alabama,Clarke County,135779,520,438,$530 ,$550 ,$705 ,"$1,001 ","$1,207 ","23,622",,
Alabama,Clay County,130107,499,419,$495 ,$609 ,$705 ,$961 ,"$1,120 ","13,235",,
Alabama,Cleburne County,140607,539,453,$530 ,$564 ,$705 ,$974 ,"$1,043 ","14,910",,
Alabama,Coffee County,177901,682,573,$546 ,$586 ,$727 ,"$1,033 ","$1,154 ","52,342",,
Alabama,Colbert County,150614,577,479,$525 ,$575 ,$751 ,$935 ,"$1,173 ","55,241",,
Alabama,Conecuh County,97761,375,315,$530 ,$619 ,$705 ,$982 ,"$1,043 ","12,067",,
Alabama,Coosa County,101382,389,327,$550 ,$563 ,$732 ,$905 ,"$1,083 ","10,663",,
Alabama,Covington County,117796,452,380,$530 ,$536 ,$705 ,$929 ,"$1,145 ","37,049",,
Alabama,Crenshaw County,97761,375,315,$530 ,$536 ,$705 ,$871 ,"$1,043 ","13,772",,
Alabama,Cullman County,166073,637,535,$559 ,$607 ,$747 ,"$1,009 ","$1,013 ","83,768",,
Alabama,Dale County,135176,518,436,$595 ,$599 ,$705 ,"$1,001 ","$1,207 ","49,172",,
Alabama,Dallas County,100537,385,324,$529 ,$561 ,$738 ,$912 ,"$1,001 ","37,196",,
Alabama,DeKalb County,139038,533,448,$468 ,$555 ,$705 ,$953 ,"$1,054 ","71,513",,
Alabama,Elmore County,206752,793,683,$643 ,$764 ,$914 ,"$1,156 ","$1,494 ","81,209",,
Alabama,Escambia County,119969,460,387,$530 ,$573 ,$705 ,$883 ,"$1,160 ","36,633",,
Alabama,Etowah County,163285,626,518,$547 ,$580 ,$710 ,$894 ,$970 ,"102,268",,
Alabama,Fayette County,106813,409,344,$530 ,$609 ,$705 ,$871 ,"$1,043 ","16,302",,
Alabama,Franklin County,114658,440,370,$530 ,$588 ,$705 ,$871 ,"$1,171 ","31,362",,
Alabama,Geneva County,121042,464,389,$561 ,$565 ,$705 ,$929 ,"$1,043 ","26,271",,
Alabama,Greene County,95925,368,320,$562 ,$565 ,$705 ,$871 ,$956 ,"8,111",,
Alabama,Hale County,106544,408,355,$758 ,$762 ,$927 ,"$1,162 ","$1,257 ","14,651",,
Alabama,Henry County,142515,546,458,$540 ,$543 ,$705 ,$931 ,"$1,112 ","17,205",,
Alabama,Houston County,186661,716,599,$561 ,$565 ,$705 ,$929 ,"$1,043 ","105,882",,
Alabama,Jackson County,126607,485,408,$530 ,$595 ,$705 ,$871 ,"$1,043 ","51,626",,
Alabama,Jefferson County,207455,795,668,$765 ,$820 ,$943 ,"$1,220 ","$1,316 ","658,573",,
Alabama,Lamar County,97641,374,315,$530 ,$589 ,$705 ,$915 ,$956 ,"13,805",,
Alabama,Lauderdale County,188891,724,601,$525 ,$575 ,$751 ,$935 ,"$1,173 ","92,729",,
Alabama,Lawrence County,145699,559,437,$554 ,$592 ,$720 ,$946 ,"$1,009 ","32,924",,
Alabama,Lee County,222849,854,720,$672 ,$706 ,$924 ,"$1,222 ","$1,383 ","164,542",,
Alabama,Limestone County,249581,957,746,$647 ,$757 ,$897 ,"$1,189 ","$1,428 ","98,915",,
Alabama,Lowndes County,82184,315,271,$643 ,$764 ,$914 ,"$1,156 ","$1,494 ","9,726",,
Alabama,Macon County,97520,374,314,$546 ,$552 ,$726 ,$915 ,"$1,243 ","18,068",,
Alabama,Madison County,263726,1011,788,$647 ,$757 ,$897 ,"$1,189 ","$1,428 ","372,909",,
Alabama,Marengo County,101865,390,328,$530 ,$619 ,$705 ,$906 ,"$1,043 ","18,863",,
Alabama,Marion County,112003,429,361,$530 ,$536 ,$705 ,$932 ,"$1,206 ","29,709",,
Alabama,Marshall County,163659,627,527,$550 ,$553 ,$715 ,$957 ,$970 ,"96,774",,
Alabama,Mobile County,171399,657,542,$662 ,$690 ,$861 ,"$1,148 ","$1,244 ","413,210",,
Alabama,Monroe County,123348,473,398,$530 ,$619 ,$705 ,$922 ,"$1,040 ","20,733",,
Alabama,Montgomery County,157676,604,521,$643 ,$764 ,$914 ,"$1,156 ","$1,494 ","226,486",,
Alabama,Morgan County,199891,766,600,$554 ,$592 ,$720 ,$946 ,"$1,009 ","119,679",,
Alabama,Perry County,78450,301,253,$540 ,$630 ,$718 ,$888 ,"$1,062 ","8,923",,
Alabama,Pickens County,115865,444,373,$535 ,$538 ,$705 ,$952 ,$956 ,"19,930",,
Alabama,Pike County,144831,555,467,$634 ,$666 ,$843 ,"$1,051 ","$1,247 ","33,114",,
Alabama,Randolph County,115986,445,374,$530 ,$619 ,$705 ,$953 ,$956 ,"22,722",,
Alabama,Russell County,149661,574,478,$654 ,$724 ,$827 ,"$1,122 ","$1,415 ","57,961",,
Alabama,St. Clair County,200865,770,647,$765 ,$820 ,$943 ,"$1,220 ","$1,316 ","89,512",,
Alabama,Shelby County,280186,1074,902,$765 ,$820 ,$943 ,"$1,220 ","$1,316 ","217,702",,
Alabama,Sumter County,89795,344,289,$637 ,$652 ,$848 ,"$1,048 ","$1,150 ","12,427",,
Alabama,Talladega County,144228,553,465,$553 ,$557 ,$733 ,$966 ,"$1,081 ","79,978",,
Alabama,Tallapoosa County,131917,506,425,$527 ,$545 ,$717 ,$981 ,"$1,181 ","40,367",,
Alabama,Tuscaloosa County,214520,822,715,$758 ,$762 ,$927 ,"$1,162 ","$1,257 ","209,355",,
Alabama,Walker County,165476,634,533,$530 ,$536 ,$705 ,$900 ,$956 ,"63,521",,
Alabama,Washington County,107537,412,347,$543 ,$566 ,$705 ,$901 ,$956 ,"16,326",,
Alabama,Wilcox County,95830,367,309,$573 ,$587 ,$763 ,$943 ,"$1,035 ","10,373",,
Alabama,Winston County,103917,398,335,$530 ,$536 ,$705 ,$980 ,$984 ,"23,629",,
Alaska,Aleutians East Borough,140479,539,459,$810 ,$885 ,"$1,165 ","$1,440 ","$1,747 ","3,337",,
Alaska,Aleutians West Census Area,327121,1254,1069,"$1,097 ","$1,255 ","$1,651 ","$2,041 ","$2,476 ","5,634",,
Alaska,Anchorage Municipality,361064,1384,1217,$877 ,$948 ,"$1,248 ","$1,773 ","$2,136 ","288,000",,
Alaska,Bethel Census Area,97949,375,320,"$1,242 ","$1,362 ","$1,698 ","$2,099 ","$2,547 ","18,386",,
Alaska,Bristol Bay Borough,221205,848,723,$685 ,$749 ,$985 ,"$1,399 ","$1,494 ",836,,
Alaska,Denali Borough,261275,1002,854,"$1,016 ","$1,110 ","$1,461 ","$1,806 ","$2,191 ","2,097",,
