"","ï..State","County.Name","Median.Home.Price.Q4.2021","Monthly.Payment.Q4.2021","Monthly.Payment.Q4.2020","Efficiency","One.Bedroom","Two.Bedroom","Three.Bedroom","Four.Bedroom","Population","RatioTwoBed","RatioEff","RatioOneBed","RatioThreeBed","RatioFourBed","Optimal","BestRes","Average","RatioAverage","Residuals","paretoRatio","Average3and4","RatioAverage3and4","ScaledRatio","ScaledPop","EuclidDistance","thresholdVec","similarityVec","Color"
"446","Georgia","Gwinnett County",323747,1241,983,1111,1131,1289,1596,1951,936250,0.00398150407571344,0.00343169203112307,0.00349346866534671,0.00492977541104628,0.00602631066851585,"NP","max",1415.6,0.00437255017034907,-37411.9916229148,"NP",1773.5,0.00547804303978106,0.102692176569014,0.0932357190849337,0.0497292702543654,"Not Optimal","Similiar","Orange"
"602","Illinois","Cook County",299571,1148,993,1059,1161,1340,1697,2018,5150233,0.00447306314696683,0.00353505512883423,0.00387554202509589,0.00566476728388262,0.006736299575059,"NP","max",1455,0.00485694543196771,-75806.5162534814,"P",1857.5,0.00620053342947081,0.124490273314987,0.513003849550272,0.390418465283062,"Not Optimal","Not Similiar","Red"
"2050","Ohio","Franklin County",255016,978,809,730,829,1032,1281,1426,1316756,0.00404680490635882,0.00286256548608715,0.00325077642187157,0.00502321422969539,0.00559180600432914,"NP","max",1059.6,0.00415503340966841,22328.9568157066,"NP",1353.5,0.00530751011701227,0.0975470657108829,0.131139121222732,0.0457116643912954,"Not Optimal","Similiar","Orange"
"1563","Missouri","St. Louis County",252240,967,829,689,745,947,1230,1449,994205,0.00375436092610213,0.00273152553124009,0.002953536314621,0.00487630827783064,0.00574452901998097,"NP","max",1012,0.00401205201395496,36730.6667754773,"NP",1339.5,0.0053104186489058,0.0976348183793043,0.0990087993278105,0.0509033493397891,"Not Optimal","Similiar","Orange"
"1268","Michigan","Macomb County",229790,881,741,733,848,1084,1371,1473,873972,0.00471735062448322,0.00318986901083598,0.00369032594978023,0.00596631707210932,0.00641020061795552,"NP","max",1101.8,0.00479481265503286,-18126.0213419053,"NP",1422,0.00618825884503242,0.124119939559794,0.0870320111845647,0.0404072536713174,"Not Optimal","Similiar","Orange"
"1039","Kentucky","Jefferson County",226483,868,731,690,800,960,1279,1468,766757,0.00423872873460701,0.00304658627799879,0.00353227394550584,0.00564722297037747,0.00648172269000322,"NP","max",1039.4,0.00458930692369847,1085.65726081932,"NP",1373.5,0.00606447283019035,0.120385219256476,0.0763519870582593,0.0516390162029299,"Not Optimal","Similiar","Orange"
"2277","Pennsylvania","Philadelphia County",219144,840,715,940,1071,1298,1605,1837,1584064,0.00592304603365823,0.00428941700434418,0.00488719745920491,0.00732395137443873,0.0083826159967875,"NP","max",1350.2,0.00616124557368671,-118413.684241213,"NP",1721,0.00785328368561311,0.174355033448049,0.157766513743876,0.0471324061047267,"Not Optimal","Similiar","Orange"
"2488","Tennessee","Shelby County",216098,828,675,694,792,912,1219,1404,937166,0.00422030745309998,0.00321150589084582,0.00366500384084998,0.00564095919443956,0.00649705226332497,"NP","max",1004.2,0.00464696572851206,3403.50160081786,"NP",1311.5,0.00606900572888227,0.120521980334044,0.0933269647324615,0.0369448655638872,"Not Optimal","Similiar","Orange"
"2056","Ohio","Hamilton County",213047,817,680,643,742,968,1302,1483,817473,0.00454359836092505,0.00301811337404423,0.00348279957004792,0.00611132754744258,0.00696090534013621,"NP","max",1027.6,0.0048233488385192,-8092.00287520384,"NP",1392.5,0.0065361164437894,0.134615073750828,0.0814039676914702,0.0423444053758359,"Not Optimal","Similiar","Orange"
"2228","Pennsylvania","Allegheny County",204177,783,668,763,807,981,1252,1371,1216045,0.00480465478481905,0.00373695372152593,0.00395245301870436,0.00613193454698619,0.00671476219162785,"NP","max",1034.8,0.00506815165273268,-19560.311944749,"NP",1311.5,0.00642334836930702,0.131212773273891,0.121106981039135,0.011473571341715,"Not Optimal","Similiar","Orange"
"736","Indiana","Marion County",196631,754,617,677,782,939,1231,1456,964582,0.00477544232598115,0.00344299728933891,0.00397699243761157,0.00626045740498701,0.00740473272271412,"NP","max",1017,0.00517212443612655,-20682.714522818,"P",1343.5,0.00683259506385056,0.143560064210813,0.0960579589165476,0.0269640928378673,"Not Optimal","Similiar","Orange"
"410","Georgia","Clayton County",185811,712,564,1111,1131,1289,1596,1951,292256,0.00693715657307694,0.00597919391209347,0.00608683016613656,0.00858937307263833,0.0104999165819031,"NP","max",1415.6,0.00761849406116968,-175347.991622915,"P",1773.5,0.00954464482727072,0.225384714014546,0.0290854466678653,0.125241749548866,"Not Optimal","Not Similiar","Red"
"2044","Ohio","Cuyahoga County",175997,675,568,632,732,893,1169,1224,1235072,0.00507395012414984,0.00359097030063012,0.00415916180389438,0.0066421586731592,0.00695466399995454,"NP","max",930,0.00528418098035762,-9920.47993248069,"NP",1196.5,0.00679841133655687,0.14252871458275,0.123002320488383,0,"Not Optimal","Similiar","Orange"
"1299","Michigan","Wayne County",163892,628,529,733,848,1084,1371,1473,1749343,0.00661411173211627,0.00447245747199375,0.00517413906719059,0.00836526493056403,0.00898762599760818,"NP","max",1101.8,0.00672271983989456,-84024.0213419053,"P",1422,0.00867644546408611,0.199190464259034,0.174230475946661,0.07638637174284,"Not Optimal","Not Similiar","Red"
"500","Georgia","Richmond County",155931,598,483,685,789,906,1228,1532,202518,0.00581026223137157,0.00439296868486702,0.00505993035381034,0.0078752781679076,0.00982485843097267,"NP","max",1028,0.00659265957378584,-65352.3533790675,"P",1380,0.00885006829944014,0.204428800182066,0.0201463616047081,0.120045694946062,"Not Optimal","Not Similiar","Red"
"2082","Ohio","Montgomery County",155781,597,499,606,680,872,1164,1248,531687,0.00559760176144716,0.00389007645348277,0.00436510229103678,0.00747202803936295,0.0080112465576675,"NP","max",914,0.00586721102059943,-24362.4597779359,"P",1206,0.00774163729851522,0.17098657515154,0.0529359233417025,0.0756250609075398,"Not Optimal","Not Similiar","Red"
"505","Georgia","Spalding County",153204,587,465,1111,1131,1289,1596,1951,66703,0.00841361844338268,0.00725176888331897,0.00738231377770815,0.0104174825722566,0.0127346544476646,"NP","max",1415.6,0.00923996762486619,-207954.991622915,"P",1773.5,0.0115760685099606,0.286674345820375,0.00661740132196614,0.185265788569468,"Optimal","Not Similiar","Red and Green"
"636","Illinois","LaSalle County",143942,552,478,1059,1161,1340,1697,2018,108669,0.00930930513679121,0.00735712995512081,0.00806574870433925,0.0117894707590557,0.014019535646302,"P","max",1455,0.0101082380403218,-231435.516253481,"P",1857.5,0.0129045032026789,0.326754253270791,0.0107977668723512,0.215705611788548,"Optimal","Not Similiar","Red and Green"
"476","Georgia","McDuffie County",137144,526,425,685,789,906,1228,1532,21312,0.00660619494837543,0.00499475004374964,0.00575307705769119,0.00895409204923292,0.0111707402438313,"NP","max",1028,0.0074957708685761,-84139.3533790675,"NP",1380,0.0100624161465321,0.241006277250005,0.00209586072487495,0.155936533119818,"Optimal","Not Similiar","Green"
"759","Indiana","Scott County",128331,492,405,677,782,939,1231,1456,23873,0.00731701615354045,0.00527542059206271,0.00609361728654807,0.00959238219915687,0.0113456608301969,"NP","max",1017,0.007924819412301,-88982.7145228179,"NP",1343.5,0.0104690215146769,0.253273877316018,0.00235097000797403,0.16377191285921,"Optimal","Not Similiar","Green"
